Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
39717362,The Perils of Perception: Why We're Wrong About Nearly Everything,Bobby Duffy,"Duffy, Bobby",,"=""1786494574""","=""9781786494573""",0,3.72,Atlantic Books,Kindle Edition,320,2018,2018,,2022/08/15,to-read,to-read (#141),to-read,,,,0,0
43565323,"Black Wave: Saudi Arabia, Iran, and the Forty-Year Rivalry That Unraveled Culture, Religion, and Collective Memory in the Middle East",Kim Ghattas,"Ghattas, Kim",,"=""1250131200""","=""9781250131201""",0,4.40,Henry Holt and Co.,Hardcover,400,2020,2020,,2022/08/05,to-read,to-read (#140),to-read,,,,0,0
29838110,Mamé,Nicolae Avram,"Avram, Nicolae",,"=""9734660888""","=""9789734660889""",0,3.22,Polirom,ebook,216,2016,2016,,2022/07/24,to-read,to-read (#139),to-read,,,,0,0
61134038,A râs și tata,Remus Boldea,"Boldea, Remus",,"=""6064013729""","=""9786064013729""",0,3.31,TREI,Paperback,160,2022,,,2022/07/17,to-read,to-read (#138),to-read,,,,0,0
33864676,Red Famine: Stalin's War on Ukraine,Anne Applebaum,"Applebaum, Anne",,"=""0771009305""","=""9780771009303""",0,4.39,Signal,Hardcover,496,2017,2017,,2022/07/16,to-read,to-read (#137),to-read,,,,0,0
12377879,Russia: A 1000-Year Chronicle of the Wild East,Martin Sixsmith,"Sixsmith, Martin",,"=""1590207238""","=""9781590207239""",0,4.17,Abrams Press,Hardcover,624,2012,2011,,2022/07/16,to-read,to-read (#136),to-read,,,,0,0
25264972,Securitatea și vânzarea evreilor: istoria acordurilor secrete dintre România și Israel,Radu Ioanid,"Ioanid, Radu",Paul A. Shapiro,"=""9734650726""","=""9789734650729""",0,4.00,Polirom,Paperback,576,2015,2005,,2022/07/15,to-read,to-read (#135),to-read,,,,0,0
53937103,Ultimul curier ilegal,Cornel Nemetzi,"Nemetzi, Cornel",,"=""9738935903""","=""9789738935907""",0,4.14,Marist,Paperback,542,2013,2013,,2022/06/23,to-read,to-read (#134),to-read,,,,0,0
56398748,Romii. Sclavie și Libertate,Petre Petcuț,"Petcuț, Petre",,"=""""","=""""",4,4.00,Editura Centrului Național de Cultură a Romilor,Unknown Binding,265,2020,,2022/05/18,2022/04/12,,,read,,,,1,0
249825,Five Chimneys: A Woman Survivor's True Story of Auschwitz,Olga Lengyel,"Lengyel, Olga",,"=""0897333764""","=""9780897333764""",0,4.42,Academy Chicago Publishers,Paperback,232,1995,1947,,2022/04/29,to-read,to-read (#133),to-read,,,,0,0
36125264,The Vory: Russia's Super Mafia,Mark Galeotti,"Galeotti, Mark",,"=""0300186827""","=""9780300186826""",0,3.79,Yale University Press,Hardcover,344,2018,2018,,2022/04/27,to-read,to-read (#132),to-read,,,,0,0
56432886,Sclavia Romilor în Țara Românească,Adrian Furtună,"Furtună, Adrian",,"=""6069097246""","=""9786069097243""",4,4.00,Editura Cwntrului Național de Cultură a Romilor - Romano Kher,,176,2020,,2022/04/27,2022/04/12,,,read,,,,1,0
30431916,Copilul invizibil,Gáspár György,"György, Gáspár",,"=""606588863X""","=""9786065888630""",3,4.19,Curtea Veche Publishing,Paperback,192,2016,,2022/04/27,2022/04/20,,,read,,,,1,0
51801261,The World According to Physics,Jim Al-Khalili,"Al-Khalili, Jim",,"=""0691182302""","=""9780691182308""",0,4.13,Princeton University Press,Hardcover,304,2020,2020,,2022/04/21,to-read,to-read (#131),to-read,,,,0,0
13435894,Zoo Station: The Story of Christiane F.,Christiane V. Felscherinow,"Felscherinow, Christiane V.","Kai Hermann, Horst Rieck","=""1936976226""","=""9781936976225""",0,4.37,Zest Books,Paperback,368,2013,1978,,2022/04/19,to-read,to-read (#130),to-read,,,,0,0
384924,Waking the Tiger: Healing Trauma,Peter A. Levine,"Levine, Peter A.",Ann  Frederick,"=""155643233X""","=""9781556432330""",0,4.06,North Atlantic Books,Paperback,288,1997,1997,,2022/04/17,to-read,to-read (#129),to-read,,,,0,0
8582180,In an Unspoken Voice: How the Body Releases Trauma and Restores Goodness,Peter A. Levine,"Levine, Peter A.",Gabor Maté,"=""1556439431""","=""9781556439438""",0,4.34,North Atlantic Books,Paperback,384,2010,2010,,2022/04/17,to-read,to-read (#128),to-read,,,,0,0
1099398,Mozart: Portrait of a Genius,Norbert Elias,"Elias, Norbert",Edmund Jephcott,"=""0520084756""","=""9780520084759""",0,3.86,University of California Press,Hardcover,152,1993,1991,,2022/04/13,to-read,to-read (#127),to-read,,,,0,0
33375619,Border: A Journey to the Edge of Europe,Kapka Kassabova,"Kassabova, Kapka",,"=""1555977863""","=""9781555977863""",0,4.14,Graywolf Press,Paperback,400,2017,2017,,2022/04/08,to-read,to-read (#126),to-read,,,,0,0
40779082,The Guns of August,Barbara W. Tuchman,"Tuchman, Barbara W.",,"=""""","=""""",0,4.18,Random House,Kindle Edition,710,2009,1962,,2022/03/24,to-read,to-read (#125),to-read,,,,0,0
23247716,America de peste pogrom,Cătălin Mihuleac,"Mihuleac, Cătălin",,"=""973233083X""","=""9789732330838""",2,4.37,Cartea Românească,Paperback,248,2014,2014,2022/03/18,2021/03/29,owned,owned (#21),read,,,,1,0
18131620,Sfânta Rusie,Alain Besançon,"Besançon, Alain",,"=""9735039788""","=""9789735039783""",0,3.84,Humanitas,Paperback,168,2013,2012,,2022/02/28,to-read,to-read (#124),to-read,,,,0,0
15823426,"The Secret Race: Inside the Hidden World of the Tour de France: Doping, Cover-ups, and Winning at All Costs",Tyler Hamilton,"Hamilton, Tyler",Daniel Coyle,"=""0345530411""","=""9780345530417""",3,4.39,Bantam,Hardcover,290,2012,2012,2022/02/24,2017/07/03,,,read,,,,1,0
370609,Pulp Fiction,Quentin Tarantino,"Tarantino, Quentin",,"=""0571200680""","=""9780571200689""",5,4.22,Faber & Faber,Paperback,198,1999,1994,2022/01/30,2021/12/25,,,read,,,,1,0
35604796,What Is Real?: The Unfinished Quest for the Meaning of Quantum Physics,Adam  Becker,"Becker, Adam",,"=""0465096050""","=""9780465096053""",0,4.28,Basic Books,Hardcover,384,2018,2018,,2021/12/18,to-read,to-read (#123),to-read,,,,0,0
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew  Ward,"=""""","=""""",4,4.03,Vintage International,Paperback,123,1989,1942,,2017/01/24,,,read,,,,2,0
5129,Brave New World,Aldous Huxley,"Huxley, Aldous",,"=""0060929871""","=""9780060929879""",4,3.98,HarperPerennial / Perennial Classics,Paperback,288,1998,1932,2021/12/10,2018/12/04,,,read,,,,1,0
